age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
30,admin.,single,secondary,no,1249,no,no,cellular,8,220,4,-1,0,unknown,no
59,blue-collar,divorced,unknown,no,454,yes,no,cellular,10,293,1,-1,0,unknown,no
34,technician,married,unknown,no,4053,yes,no,unknown,23,123,2,-1,0,unknown,no
39,technician,divorced,secondary,no,8,no,no,cellular,29,1028,2,-1,0,unknown,no
55,technician,married,secondary,no,3207,no,no,cellular,28,158,2,153,12,failure,no
27,admin.,single,secondary,no,6492,no,no,cellular,6,7,6,-1,0,unknown,no
59,retired,married,primary,no,363,no,no,cellular,30,400,1,-1,0,unknown,yes
50,blue-collar,married,secondary,no,173,yes,no,cellular,12,7,5,342,15,other,no
53,entrepreneur,married,primary,no,55,no,no,cellular,2,217,1,-1,0,unknown,no
30,management,married,tertiary,no,294,no,no,cellular,20,605,4,-1,0,unknown,no
52,services,divorced,primary,no,130,yes,no,unknown,29,103,2,-1,0,unknown,no
25,management,single,tertiary,no,1628,no,no,cellular,2,91,1,-1,0,unknown,no
52,management,married,tertiary,no,6922,no,no,cellular,20,371,1,-1,0,unknown,no
49,services,married,secondary,no,4300,yes,yes,cellular,8,134,1,256,6,failure,no
59,admin.,married,secondary,no,1001,no,no,unknown,6,175,2,-1,0,unknown,no
31,management,single,tertiary,no,41,yes,no,cellular,18,392,2,-1,0,unknown,no
40,entrepreneur,married,secondary,no,1349,no,no,cellular,20,82,3,-1,0,unknown,no
33,services,married,secondary,no,1785,yes,no,unknown,30,287,12,-1,0,unknown,no
47,management,married,secondary,no,458,no,no,cellular,18,66,1,-1,0,unknown,no
38,management,married,tertiary,no,1276,no,no,cellular,17,272,2,182,3,success,yes
48,blue-collar,divorced,secondary,yes,296,no,yes,unknown,16,144,4,-1,0,unknown,no
29,unemployed,single,tertiary,no,991,no,no,cellular,5,563,1,-1,0,unknown,no
48,technician,single,secondary,no,957,no,no,cellular,26,198,5,-1,0,unknown,no
41,self-employed,divorced,tertiary,no,-319,no,no,unknown,20,263,3,-1,0,unknown,no
56,management,married,tertiary,no,2551,yes,no,cellular,17,150,2,-1,0,unknown,no
38,blue-collar,married,primary,no,6091,no,no,unknown,17,189,1,-1,0,unknown,no
40,technician,married,unknown,no,698,yes,no,unknown,8,223,2,-1,0,unknown,no
61,housemaid,single,unknown,no,893,no,no,telephone,2,324,1,-1,0,unknown,no
47,blue-collar,married,primary,no,94,yes,no,unknown,9,209,3,-1,0,unknown,no
51,housemaid,married,primary,no,339,no,no,cellular,4,313,1,-1,0,unknown,no
45,unknown,married,unknown,no,356,no,no,cellular,11,212,2,-1,0,unknown,no
25,admin.,single,secondary,no,230,no,no,telephone,30,394,14,-1,0,unknown,no
28,self-employed,single,tertiary,no,805,no,no,cellular,26,69,1,99,1,success,no
35,self-employed,single,primary,no,45,no,yes,unknown,6,81,1,-1,0,unknown,no
40,services,single,secondary,no,1038,no,no,unknown,5,741,1,-1,0,unknown,no
45,technician,divorced,tertiary,no,10768,yes,no,cellular,2,147,3,78,2,failure,no
37,unemployed,divorced,secondary,no,57,yes,no,cellular,28,99,1,-1,0,unknown,no
35,management,single,tertiary,no,-353,yes,no,cellular,16,70,1,-1,0,unknown,no
58,retired,married,secondary,no,8332,no,no,unknown,17,164,2,96,4,failure,no
25,admin.,single,secondary,no,18,yes,no,cellular,22,129,1,-1,0,unknown,no
42,services,married,secondary,no,108,yes,yes,cellular,13,225,2,365,7,failure,no
36,blue-collar,single,secondary,no,161,yes,no,unknown,11,196,2,-1,0,unknown,no
30,admin.,single,secondary,no,4925,yes,no,cellular,21,86,1,-1,0,unknown,no
41,technician,married,secondary,no,-366,yes,yes,unknown,6,29,3,-1,0,unknown,no
37,blue-collar,married,secondary,no,195,yes,no,unknown,1,10,1,-1,0,unknown,no
36,management,married,tertiary,no,495,no,no,cellular,5,157,3,97,2,success,yes
35,technician,single,tertiary,no,174,yes,no,cellular,5,105,1,-1,0,unknown,no
30,services,single,secondary,no,193,yes,no,cellular,29,326,1,244,2,failure,no
37,management,married,secondary,no,341,no,no,unknown,3,120,2,-1,0,unknown,no
60,retired,married,secondary,no,1690,no,no,unknown,20,1467,4,-1,0,unknown,yes
39,management,single,tertiary,no,255,yes,no,unknown,5,296,1,-1,0,unknown,no
58,blue-collar,married,secondary,no,2146,no,no,cellular,7,206,3,-1,0,unknown,no
43,technician,single,secondary,no,4990,yes,no,cellular,22,88,10,-1,0,unknown,no
35,technician,married,secondary,no,1067,no,yes,cellular,12,179,6,-1,0,unknown,no
59,retired,married,primary,no,488,no,no,cellular,31,231,2,-1,0,unknown,no
49,management,married,tertiary,no,391,no,no,unknown,17,128,1,-1,0,unknown,no
35,technician,married,secondary,no,295,yes,no,unknown,29,882,2,-1,0,unknown,no
32,admin.,divorced,secondary,no,298,yes,no,cellular,9,12,4,-1,0,unknown,no
34,management,married,tertiary,no,519,no,no,cellular,11,57,3,-1,0,unknown,no
46,admin.,married,secondary,no,664,no,no,cellular,5,295,2,-1,0,unknown,no
35,blue-collar,single,secondary,no,448,no,yes,cellular,20,1031,6,-1,0,unknown,no
37,management,married,tertiary,no,1893,no,yes,cellular,21,353,2,-1,0,unknown,no
20,student,single,unknown,no,755,no,no,cellular,29,284,1,-1,0,unknown,yes
32,blue-collar,married,secondary,no,-39,yes,no,cellular,18,104,2,-1,0,unknown,no
27,technician,married,secondary,no,-392,yes,no,cellular,23,228,2,-1,0,unknown,yes
39,blue-collar,married,primary,no,1966,yes,no,unknown,21,181,1,-1,0,unknown,no
36,self-employed,married,secondary,no,96,no,no,cellular,27,125,15,-1,0,unknown,no
52,blue-collar,married,primary,no,241,yes,no,unknown,26,729,2,-1,0,unknown,no
59,retired,married,tertiary,no,41242,no,no,cellular,21,161,1,-1,0,unknown,no
33,technician,married,secondary,no,-74,yes,no,cellular,25,198,4,-1,0,unknown,no
59,retired,married,unknown,no,1116,no,no,cellular,30,353,1,-1,0,unknown,no
38,management,divorced,tertiary,no,10638,no,no,unknown,12,159,2,-1,0,unknown,no
31,management,married,unknown,no,4123,no,no,cellular,21,584,2,-1,0,unknown,no
32,management,single,tertiary,no,3050,yes,no,cellular,21,58,1,182,1,failure,no
61,retired,divorced,primary,no,3624,no,no,cellular,25,342,1,-1,0,unknown,yes
36,services,married,secondary,no,0,yes,no,cellular,6,215,3,280,3,failure,no
46,management,married,tertiary,no,1808,no,no,cellular,8,172,2,-1,0,unknown,no
60,blue-collar,married,secondary,no,721,no,no,cellular,10,160,1,-1,0,unknown,no
38,entrepreneur,married,primary,no,1390,yes,no,cellular,5,106,4,-1,0,unknown,no
27,blue-collar,married,secondary,no,362,yes,no,unknown,14,332,2,-1,0,unknown,no
33,blue-collar,married,secondary,no,2994,yes,no,cellular,20,155,1,-1,0,unknown,no
25,management,married,tertiary,no,4461,no,no,cellular,11,796,5,-1,0,unknown,yes
57,management,married,tertiary,no,830,yes,yes,cellular,8,662,1,367,1,success,yes
56,blue-collar,divorced,primary,yes,-1,no,no,cellular,18,304,3,-1,0,unknown,no
27,technician,single,secondary,no,3485,no,yes,cellular,25,282,2,-1,0,unknown,no
21,student,single,secondary,no,57,no,no,unknown,4,9,1,-1,0,unknown,no
26,admin.,single,unknown,no,677,no,no,cellular,4,399,1,-1,0,unknown,no
32,technician,single,tertiary,no,932,yes,no,cellular,16,944,1,318,1,failure,yes
32,admin.,married,secondary,no,9049,yes,no,cellular,21,536,1,-1,0,unknown,no
53,management,married,tertiary,no,618,no,no,cellular,11,73,2,-1,0,unknown,no
35,blue-collar,married,secondary,no,0,yes,yes,cellular,21,113,1,-1,0,unknown,no
38,blue-collar,divorced,secondary,no,2998,yes,no,unknown,11,91,1,-1,0,unknown,no
30,unemployed,single,primary,no,1,no,no,cellular,18,119,2,-1,0,unknown,no
49,management,married,tertiary,no,1887,no,no,cellular,18,244,3,-1,0,unknown,no
57,admin.,divorced,secondary,yes,-435,yes,yes,cellular,6,89,5,273,2,failure,no
34,blue-collar,married,primary,no,3527,yes,no,cellular,21,1022,1,-1,0,unknown,yes
39,blue-collar,married,secondary,no,0,yes,no,unknown,29,209,3,-1,0,unknown,no
29,blue-collar,married,secondary,no,0,yes,no,cellular,16,186,4,-1,0,unknown,no
33,technician,married,secondary,no,6419,no,no,cellular,7,419,3,-1,0,unknown,no
44,technician,single,secondary,no,-27,yes,yes,unknown,14,100,3,-1,0,unknown,no
37,management,married,tertiary,no,566,no,no,cellular,25,463,4,-1,0,unknown,no
49,admin.,single,secondary,no,0,no,no,cellular,19,325,2,-1,0,unknown,no
29,management,married,tertiary,no,246,yes,no,cellular,29,61,1,265,1,failure,no
39,management,married,tertiary,no,839,no,yes,cellular,11,365,2,774,11,failure,no
36,services,single,secondary,no,616,yes,yes,unknown,12,156,3,-1,0,unknown,no
34,blue-collar,single,secondary,no,13683,yes,no,cellular,20,92,3,321,3,failure,no
48,admin.,married,primary,no,4459,yes,no,cellular,3,439,2,240,1,failure,no
31,management,married,tertiary,no,-513,no,yes,cellular,7,124,1,-1,0,unknown,no
50,blue-collar,married,primary,no,0,yes,no,cellular,23,137,1,-1,0,unknown,no
39,blue-collar,married,tertiary,no,10483,no,no,unknown,9,218,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,1790,yes,yes,unknown,9,143,1,-1,0,unknown,no
44,housemaid,married,primary,no,3706,no,no,unknown,17,209,3,-1,0,unknown,no
47,services,single,secondary,no,897,yes,no,telephone,13,48,4,176,2,failure,no
23,student,single,secondary,no,318,yes,no,unknown,9,545,2,-1,0,unknown,no
36,management,married,tertiary,no,495,no,no,cellular,11,91,1,37,5,success,yes
40,management,married,secondary,no,406,yes,no,unknown,12,577,2,-1,0,unknown,yes
58,unemployed,single,primary,no,278,no,no,unknown,16,1009,5,-1,0,unknown,no
39,management,single,secondary,no,1623,yes,no,unknown,3,348,2,-1,0,unknown,no
50,blue-collar,divorced,secondary,no,571,yes,no,unknown,2,88,4,-1,0,unknown,no
32,technician,single,tertiary,no,600,no,no,cellular,2,272,1,-1,0,unknown,no
41,services,married,secondary,no,241,yes,yes,unknown,4,144,1,-1,0,unknown,no
34,blue-collar,married,primary,no,654,no,no,cellular,25,152,1,-1,0,unknown,no
56,management,married,primary,no,93,yes,no,unknown,7,282,2,-1,0,unknown,no
41,blue-collar,married,primary,no,191,yes,no,unknown,8,67,1,-1,0,unknown,no
28,management,married,tertiary,no,318,yes,no,unknown,27,4,4,-1,0,unknown,no
50,services,married,secondary,no,378,no,yes,telephone,18,55,9,-1,0,unknown,no
52,retired,married,secondary,no,414,no,no,cellular,28,207,3,-1,0,unknown,no
43,management,divorced,secondary,no,0,no,no,cellular,7,75,3,-1,0,unknown,no
34,blue-collar,married,secondary,no,355,yes,no,cellular,18,189,3,348,3,failure,no
33,blue-collar,married,secondary,no,0,yes,no,telephone,14,305,3,-1,0,unknown,no
32,management,single,tertiary,no,11,yes,yes,cellular,5,399,1,-1,0,unknown,no
44,management,married,tertiary,no,756,yes,no,cellular,11,122,2,-1,0,unknown,no
57,admin.,married,primary,no,389,no,no,cellular,9,108,2,-1,0,unknown,no
40,blue-collar,married,secondary,no,95,no,yes,unknown,20,61,4,-1,0,unknown,no
79,retired,divorced,primary,no,79,no,no,cellular,9,1106,2,-1,0,unknown,yes
41,entrepreneur,married,tertiary,no,221,yes,no,unknown,14,57,2,-1,0,unknown,no
42,blue-collar,single,primary,no,1628,yes,no,cellular,5,119,1,195,8,success,no
56,management,married,secondary,no,819,no,no,unknown,9,55,1,-1,0,unknown,no
40,management,married,tertiary,no,3,yes,yes,unknown,19,151,1,-1,0,unknown,no
64,retired,married,secondary,no,4787,no,no,cellular,28,392,1,182,1,success,yes
29,technician,single,secondary,no,5,yes,yes,cellular,28,54,2,-1,0,unknown,no
46,blue-collar,married,primary,no,185,no,no,cellular,25,226,10,-1,0,unknown,no
26,technician,single,secondary,no,75,yes,no,unknown,27,337,2,-1,0,unknown,no
31,management,single,secondary,no,1090,yes,no,cellular,8,50,1,303,1,failure,no
31,blue-collar,single,primary,no,660,yes,no,cellular,28,207,3,478,2,failure,no
36,management,married,tertiary,no,860,yes,no,unknown,20,294,15,-1,0,unknown,no
28,technician,single,secondary,no,440,no,yes,cellular,5,177,2,-1,0,unknown,no
36,unemployed,married,primary,no,771,yes,no,cellular,8,152,1,-1,0,unknown,no
31,blue-collar,married,primary,no,620,no,no,cellular,30,95,1,-1,0,unknown,no
35,technician,divorced,secondary,no,303,yes,yes,unknown,26,454,3,-1,0,unknown,no
58,management,married,tertiary,no,2143,yes,no,unknown,5,261,1,-1,0,unknown,no
56,admin.,married,unknown,no,1848,yes,no,cellular,4,147,2,260,1,failure,no
37,admin.,single,secondary,no,176,yes,no,cellular,18,80,2,-1,0,unknown,no
56,self-employed,married,secondary,no,445,no,no,cellular,7,59,2,-1,0,unknown,no
39,technician,single,secondary,no,-225,no,no,cellular,19,220,1,-1,0,unknown,no
57,technician,married,secondary,no,1469,yes,no,cellular,17,364,1,-1,0,unknown,no
26,blue-collar,single,secondary,no,37,no,yes,cellular,28,301,2,-1,0,unknown,no
55,retired,married,secondary,no,120,no,no,cellular,27,43,3,-1,0,unknown,no
55,technician,married,unknown,no,1393,yes,yes,telephone,21,55,5,-1,0,unknown,no
35,admin.,married,secondary,yes,76,no,yes,unknown,17,107,1,-1,0,unknown,no
41,management,single,tertiary,no,256,yes,no,unknown,3,140,6,-1,0,unknown,no
51,unknown,married,unknown,no,1585,no,no,telephone,30,152,4,-1,0,unknown,no
45,technician,single,tertiary,no,1591,no,no,cellular,15,392,4,-1,0,unknown,no
37,blue-collar,married,primary,no,33,no,yes,cellular,8,483,2,-1,0,unknown,no
28,management,single,tertiary,no,203,no,no,cellular,29,145,2,-1,0,unknown,no
28,admin.,married,secondary,no,1428,yes,no,cellular,16,495,1,-1,0,unknown,no
25,admin.,single,secondary,no,1871,no,no,cellular,4,136,1,-1,0,unknown,yes
42,entrepreneur,married,tertiary,no,0,no,no,cellular,9,236,1,-1,0,unknown,no
59,retired,married,primary,no,2722,no,no,unknown,16,145,1,-1,0,unknown,no
43,blue-collar,divorced,primary,no,92,yes,no,unknown,15,237,2,-1,0,unknown,no
47,technician,divorced,secondary,no,1851,yes,no,unknown,19,140,2,-1,0,unknown,no
54,management,divorced,tertiary,no,380,no,yes,cellular,10,501,1,188,2,success,no
29,services,married,secondary,no,222,yes,no,cellular,3,197,1,250,23,failure,no
40,services,married,secondary,no,1305,no,no,cellular,22,255,1,-1,0,unknown,no
61,retired,married,secondary,no,569,no,no,cellular,4,219,1,-1,0,unknown,yes
52,self-employed,single,secondary,no,207,no,yes,cellular,18,179,1,-1,0,unknown,no
66,retired,married,tertiary,no,0,no,no,cellular,5,177,1,-1,0,unknown,no
48,management,married,tertiary,no,-1080,yes,yes,cellular,18,76,3,-1,0,unknown,no
42,technician,married,secondary,no,8899,yes,no,cellular,20,75,2,-1,0,unknown,no
30,services,single,secondary,no,1846,yes,no,cellular,19,87,2,-1,0,unknown,no
57,admin.,divorced,secondary,no,1878,yes,no,cellular,17,219,1,-1,0,unknown,no
41,blue-collar,married,unknown,no,1402,no,no,cellular,31,33,14,-1,0,unknown,no
32,entrepreneur,married,tertiary,no,28,no,no,cellular,5,287,1,-1,0,unknown,no
28,admin.,married,secondary,no,49,yes,no,cellular,20,17,3,-1,0,unknown,no
54,blue-collar,married,primary,no,24,yes,no,unknown,15,34,1,-1,0,unknown,no
35,self-employed,single,tertiary,no,353,no,no,cellular,12,582,1,-1,0,unknown,yes
44,unemployed,married,secondary,no,317,yes,yes,unknown,1,4,1,-1,0,unknown,no
28,management,married,tertiary,no,1240,no,no,cellular,4,849,1,-1,0,unknown,yes
39,management,divorced,tertiary,no,-980,yes,no,cellular,4,52,2,260,1,failure,no
43,blue-collar,married,primary,no,445,yes,no,unknown,15,173,1,-1,0,unknown,no
58,entrepreneur,married,primary,no,1153,yes,yes,telephone,12,206,6,337,6,failure,no
45,management,married,tertiary,no,2953,yes,yes,cellular,5,388,1,-1,0,unknown,no
32,admin.,married,secondary,no,86,yes,no,unknown,26,1099,1,-1,0,unknown,no
71,retired,divorced,secondary,no,4380,no,no,cellular,22,369,1,-1,0,unknown,yes
50,management,married,secondary,no,1165,no,no,cellular,16,455,1,-1,0,unknown,yes
47,technician,married,secondary,no,826,yes,no,telephone,18,195,3,112,8,other,no
57,management,married,primary,no,2538,no,yes,telephone,17,485,2,-1,0,unknown,no
47,services,married,secondary,no,0,yes,no,telephone,9,250,1,-1,0,unknown,no
52,retired,married,secondary,no,424,no,no,unknown,18,89,3,-1,0,unknown,no
21,student,single,primary,no,423,no,no,cellular,8,104,5,-1,0,unknown,yes
41,services,divorced,secondary,no,727,yes,no,cellular,11,246,1,-1,0,unknown,no
54,management,divorced,tertiary,no,12018,yes,no,cellular,21,267,2,-1,0,unknown,yes
30,admin.,single,secondary,no,239,yes,no,cellular,7,115,3,-1,0,unknown,no
48,blue-collar,married,secondary,no,425,yes,no,telephone,9,693,2,-1,0,unknown,no
43,blue-collar,divorced,primary,no,515,yes,no,cellular,18,182,1,-1,0,unknown,no
27,student,single,tertiary,no,-148,yes,no,cellular,11,146,3,224,1,other,no
29,services,divorced,secondary,no,330,yes,no,unknown,12,88,2,-1,0,unknown,no
45,management,married,tertiary,no,2805,no,no,cellular,19,91,2,-1,0,unknown,no
45,technician,married,secondary,no,3601,yes,no,unknown,30,536,2,-1,0,unknown,no
55,self-employed,married,primary,no,325,no,no,cellular,26,439,4,-1,0,unknown,no
35,services,married,secondary,no,109,yes,no,unknown,6,597,3,-1,0,unknown,no
39,blue-collar,married,secondary,no,1756,yes,no,cellular,3,939,1,-1,0,unknown,yes
35,admin.,divorced,secondary,no,30,no,no,unknown,23,186,1,-1,0,unknown,no
28,unemployed,single,tertiary,no,497,yes,no,cellular,24,1602,6,-1,0,unknown,yes
31,admin.,single,secondary,no,190,no,no,cellular,30,514,1,-1,0,unknown,yes
45,blue-collar,married,primary,no,0,no,no,cellular,19,92,2,-1,0,unknown,no
26,services,single,tertiary,no,1140,yes,no,cellular,6,984,2,-1,0,unknown,yes
29,admin.,single,secondary,no,1,no,no,telephone,9,372,1,-1,0,unknown,no
57,management,married,secondary,no,1026,yes,no,unknown,13,52,2,-1,0,unknown,no
60,management,divorced,secondary,no,773,yes,yes,unknown,16,597,22,-1,0,unknown,no
34,technician,single,secondary,no,201,no,no,cellular,22,257,2,-1,0,unknown,no
46,blue-collar,married,secondary,no,679,yes,no,unknown,19,723,1,-1,0,unknown,no
55,admin.,married,unknown,no,2038,no,no,cellular,9,394,1,-1,0,unknown,yes
56,technician,single,primary,no,145,yes,no,telephone,6,124,2,9,2,other,no
37,technician,married,secondary,no,-796,yes,yes,unknown,26,299,1,-1,0,unknown,no
32,blue-collar,single,secondary,no,5,yes,yes,unknown,8,134,1,-1,0,unknown,no
36,management,married,tertiary,no,6,yes,no,cellular,18,166,3,-1,0,unknown,no
39,admin.,single,secondary,no,720,yes,no,telephone,22,154,8,14,5,other,no
56,entrepreneur,married,tertiary,no,21,no,no,cellular,21,118,3,-1,0,unknown,no
33,technician,married,secondary,no,256,yes,no,cellular,18,76,1,-1,0,unknown,no
21,management,single,tertiary,no,243,no,yes,cellular,17,181,2,-1,0,unknown,no
54,management,married,tertiary,no,0,no,no,unknown,5,120,2,-1,0,unknown,no
51,admin.,married,secondary,no,0,yes,yes,cellular,30,150,1,252,1,failure,no
41,management,married,tertiary,no,3016,yes,no,cellular,14,80,3,-1,0,unknown,no
28,student,single,tertiary,no,471,yes,no,cellular,6,209,1,-1,0,unknown,no
31,blue-collar,married,primary,no,1601,no,no,cellular,7,615,1,137,3,failure,no
57,technician,married,secondary,no,29,no,no,cellular,6,122,2,-1,0,unknown,no
36,blue-collar,married,primary,no,650,yes,no,unknown,12,170,2,-1,0,unknown,no
55,management,divorced,tertiary,no,446,no,no,cellular,2,159,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,223,yes,no,unknown,21,91,3,-1,0,unknown,no
27,technician,single,secondary,no,3305,no,yes,cellular,28,78,3,-1,0,unknown,no
48,management,married,secondary,no,11146,no,no,unknown,6,136,1,-1,0,unknown,no
47,services,married,secondary,no,51,yes,yes,unknown,16,312,1,-1,0,unknown,no
41,blue-collar,single,primary,no,74,no,no,unknown,9,193,4,-1,0,unknown,no
31,technician,divorced,secondary,no,-1185,yes,no,unknown,16,81,5,-1,0,unknown,no
31,management,married,tertiary,no,1750,yes,no,telephone,14,90,3,-1,0,unknown,no
33,management,single,tertiary,no,0,no,no,cellular,19,53,4,-1,0,unknown,no
35,management,married,tertiary,no,24,yes,no,cellular,8,169,1,231,2,failure,no
37,admin.,single,unknown,no,179,no,no,unknown,30,100,3,-1,0,unknown,no
54,self-employed,married,secondary,no,153,yes,no,unknown,5,40,1,-1,0,unknown,no
25,admin.,single,secondary,no,19,no,no,cellular,10,133,1,-1,0,unknown,no
32,admin.,married,secondary,no,2711,no,no,cellular,8,193,1,-1,0,unknown,no
45,blue-collar,married,primary,no,408,no,no,unknown,9,253,2,-1,0,unknown,no
62,retired,married,secondary,no,3114,no,no,cellular,18,243,2,186,1,success,yes
49,management,married,tertiary,no,0,yes,no,cellular,18,102,1,-1,0,unknown,no
38,blue-collar,married,primary,no,1807,no,no,unknown,7,348,3,-1,0,unknown,no
37,services,married,secondary,no,775,no,yes,cellular,25,1000,1,-1,0,unknown,yes
43,blue-collar,married,secondary,no,1343,yes,yes,cellular,25,211,2,-1,0,unknown,no
36,technician,single,tertiary,no,53,no,yes,cellular,18,64,7,-1,0,unknown,no
55,self-employed,married,primary,no,2349,no,yes,telephone,30,350,3,-1,0,unknown,no
39,technician,married,secondary,no,597,yes,no,unknown,21,298,2,-1,0,unknown,no
44,technician,divorced,secondary,no,1196,yes,no,unknown,27,202,1,-1,0,unknown,no
54,technician,married,tertiary,no,6507,no,no,cellular,26,145,1,-1,0,unknown,no
37,management,single,tertiary,no,553,no,no,cellular,12,63,2,-1,0,unknown,no
28,technician,single,secondary,no,16,no,no,cellular,17,268,1,333,1,failure,no
43,blue-collar,divorced,secondary,no,110,yes,yes,unknown,6,448,1,-1,0,unknown,no
52,blue-collar,married,secondary,no,7119,no,yes,telephone,20,871,3,-1,0,unknown,yes
58,management,divorced,secondary,no,44,yes,no,cellular,29,147,1,195,1,other,no
60,admin.,married,secondary,no,4120,yes,yes,unknown,30,422,2,-1,0,unknown,no
56,retired,married,primary,no,340,yes,no,cellular,21,1220,1,-1,0,unknown,no
54,management,single,secondary,no,602,no,no,cellular,30,101,2,-1,0,unknown,no
53,self-employed,divorced,tertiary,no,1841,no,no,unknown,12,403,5,-1,0,unknown,no
